,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
86,"600 W 42nd St, New York, NY 10036","{'cafes', 'grocery'}",40.7607938341583,-73.9984574739583,SUNAC Natural Market,10036,10036,West Midtown
87,"402 W 47th St, New York, NY 10036",{'grocery'},40.761639,-73.990784,Urban Market,10036,10036,West Midtown
88,"452 W 43rd St, New York, NY 10036",{'grocery'},40.7596825,-73.9938821,Food Emporium,10036,10036,West Midtown
89,"695 10th Ave, New York, NY 10036","{'mexican', 'grocery'}",40.7632179260254,-73.9932556152344,Tehuitzingo,10036,10036,West Midtown
90,"554 5th Ave, New York, NY 10036","{'delis', 'mexican', 'grocery'}",40.7558822631836,-73.9795455932617,Smilers Food Store,10036,10036,West Midtown
91,"350 West 42nd Street 20H, New York, NY 10036",{'grocery'},40.7580609,-73.9922694,Merci Market,10036,10036,West Midtown
92,"680 8th Ave, New York, NY 10036","{'grocery', 'convenience'}",40.757877,-73.988677,Gourmet New York,10036,10036,West Midtown
93,"694 9th Ave, New York, NY 10036",{'grocery'},40.761886,-73.989715,Mazzella's Market,10036,10036,West Midtown
94,"456 W 45 10 Ave, New York, NY 10036","{'delis', 'grocery', 'sandwiches'}",40.7554299,-73.9983192,A & A Market & Deli,10036,10036,West Midtown
95,"659 10th Ave, New York, NY 10036",{'grocery'},40.7625885,-73.9937134,Mr Zhang Grocery Store,10036,10036,West Midtown
96,"681 9th Ave, New York, NY 10036",{'grocery'},40.7616081,-73.9906235,NY Food Market,10036,10036,West Midtown
97,"300 8th Ave, New York, NY 10019","{'juicebars', 'grocery'}",40.7466525,-73.997315,Chelsea Fine Food,10019,10019,West Midtown
98,"731 9th Ave, New York, NY 10019","{'markets', 'juicebars', 'grocery'}",40.76329,-73.989471,Amish Market West,10019,10019,West Midtown
99,"550 W 54th St, New York, NY 10019","{'delis', 'grocery'}",40.76768,-73.99149,The Market At Mercedes House,10019,10019,West Midtown
100,"810 8th Ave, New York, NY 10019",{'grocery'},40.76184,-73.98618,The Food Emporium,10019,10019,West Midtown
101,"36 W 56th St, New York, NY 10019",{'grocery'},40.762851,-73.976371,Dainobu,10019,10019,West Midtown
102,"140 West 57th Street, New York, NY 10019",{'grocery'},40.7648648522131,-73.9787796392833,Morton Williams,10019,10019,West Midtown
103,"941 8th Ave, New York, NY 10019",{'grocery'},40.7660385,-73.983641,Bread & Honey,10019,10019,West Midtown
104,"10 Columbus Cir, Ste SC101, New York, NY 10019","{'gourmet', 'coffee', 'grocery'}",40.7684372199907,-73.9827787460327,Whole Foods Market,10019,10019,West Midtown
105,"732 10th Ave, New York, NY 10019","{'delis', 'grocery'}",40.764488,-73.991615,Ramses At 10 Ave,10019,10019,West Midtown
106,"814 10th Ave, New York, NY 10019","{'delis', 'grocery'}",40.767238,-73.989524,United We Stand Deli & Grocery,10019,10019,West Midtown
107,"907 8th Ave, New York, NY 10019",{'grocery'},40.76474,-73.98454,Gristede's,10019,10019,West Midtown
108,"815 10th Ave, New York, NY 10019",{'grocery'},40.7675958,-73.9897718,D'Agostino,10019,10019,West Midtown
109,"1366 6th Ave, New York, NY 10019","{'gourmet', 'grocery'}",40.7632467,-73.9777463,Ernest Klein & Company,10019,10019,West Midtown
110,"917 Ninth Avenue, New York, NY 10019",{'grocery'},40.7688268,-73.9852549,Morton Williams,10019,10019,West Midtown
111,"721 11th Ave, New York, NY 10019",{'grocery'},40.7667389,-73.9944077,51 Food Market,10019,10019,West Midtown
112,"769 10th Ave, New York, NY 10019",{'grocery'},40.7658407092094,-73.9910182356834,NY 2 Food Market,10019,10019,West Midtown
113,"1413 6th Ave, New York, NY 10019",{'grocery'},40.7648616,-73.9770615,Merci Market,10019,10019,West Midtown
114,"819 9th Ave, New York, NY 10019",{'grocery'},40.7662658691406,-73.9872665405273,54 Royal Deli,10019,10019,West Midtown
115,"New York, NY 10019","{'grocery', 'fooddeliveryservices'}",40.7662925720215,-73.9927520751953,FoodKick,10019,10019,West Midtown
116,"115 W 57th St, New York, NY 10019",{'grocery'},40.764908,-73.977882,Dali Market,10019,10019,West Midtown
117,"1366 Avenue of the Americ, New York, NY 10019",{'grocery'},40.7632436603308,-73.9779022336006,Klein Ernest & Company Supermarket,10019,10019,West Midtown
118,"781 9th Ave, New York, NY 10019",{'grocery'},40.76491,-73.98813,Oscar L. Fruit & Vegetables,10019,10019,West Midtown
119,"886 10th Ave Frnt, New York, NY 10019",{'grocery'},40.76956,-73.98801,A & A Deli,10019,10019,West Midtown
